-425.347928671801,-3405.66635337557,-3557.28707270364,-3560.93157347523,-3560.98732725984,-3560.99304481213,-3560.99430203311,-3560.99462993741,-3560.99471730831,-3560.99474064239,-3560.9947468756
-431.074729739624,-3348.87876823047,-3520.2250460583,-3524.50103056455,-3524.82677034552,-3524.85162563463,-3524.85334161646,-3524.85346838919,-3524.85347869804,-3524.85347959718,-3524.85347968088
-443.899917470655,-3431.42714708872,-3595.44648809874,-3595.65556591669,-3595.66259267407,-3595.66323127887,-3595.66330174399,-3595.66330999817,-3595.66331098131,-3595.66331109893,-3595.66331111301
-434.999206854305,-3537.05249973834,-3723.41126423379,-3723.79864928491,-3723.79898225628,-3723.7989816904,-3723.7989817263,-3723.79898172785,-3723.79898172791,-3723.79898172791,-3723.79898172791
-433.090419593929,-3424.1985582491,-3605.58014823803,-3606.36034142897,-3606.35658060126,-3606.35637878195,-3606.35636459284,-3606.35636408698,-3606.35636406982,-3606.35636406872,-3606.35636406865
-405.359545911638,-3355.73336985184,-3518.68224055577,-3525.84352723634,-3527.02667292004,-3527.20579032604,-3527.2290013342,-3527.23194440545,-3527.23231680152,-3527.23236392349,-3527.23236988733
-402.193095278432,-3559.74132900884,-3760.98099156527,-3761.40624746392,-3761.39819030739,-3761.39394479319,-3761.39271885726,-3761.39237926766,-3761.39228557765,-3761.39225973755,-3761.39225261074
-438.726127856687,-3419.93175663308,-3571.75723811819,-3573.78234957802,-3573.88538714417,-3573.89054070717,-3573.89081421994,-3573.89083081957,-3573.89083243749,-3573.89083272965,-3573.89083280281
-448.347160040365,-3578.36819466776,-3763.31308480954,-3766.13966956164,-3766.19966225034,-3766.20143477468,-3766.20149098536,-3766.20149278925,-3766.20149284767,-3766.20149284957,-3766.20149284964
-416.275132721605,-3442.48786933844,-3604.89782602832,-3606.87137586696,-3606.9702389292,-3606.98231281671,-3606.98486975709,-3606.98550999234,-3606.98567644386,-3606.98572027742,-3606.98573189396
